ID | NAME | IATA(3) | ICAO(4) | CALLSIGN | ID_COUNTRY_OF_ORIGIN
1,Private flight,,,,
2,135 Airways,,GNL,GENERAL,
3,1Time Airline,1T,RNX,EXTIME,206
4,2 Sqn No 1 Elementary Flying Training School,,WYT,,
5,213 Flight Unit,,TFU,,
6,223 Flight Unit State Airline,,CHD,CHKALOVSK-AVIA,
7,224th Flight Unit,,TTF,CARGO UNIT,
8,247 Jet Ltd,,TWF,CLOUD RUNNER,
9,3D Aviation,,SEC,SECUREX,
10,40-Mile Air,Q5,MLA,MILE-AIR,
11,4D Air,,QRT,QUARTET,221
12,611897 Alberta Limited,,THD,DONUT,40
13,Ansett Australia,A,AAA,ANSETT,14
14,Abacus International,1B,,,200
15,Abelag Aviation,W9,AAB,ABG,22
16,Army Air Corps,,AAC,ARMYAIR,
17,Aero Aviation Centre Ltd.,,AAD,SUNRISE,40
18,Aero Servicios Ejecutivos Internacionales,,SII,ASEISA,144
19,Aero Biniza,,BZS,BINIZA,144
20,Aero Albatros,,ABM,ALBATROS ESPANA,209
21,Aigle Azur,ZI,AAF,AIGLE AZUR,76
22,Aloha Airlines,AQ,AAH,ALOHA,
23,Alaska Island Air,,AAK,ALASKA ISLAND,
24,American Airlines,AA,AAL,AMERICA,
25,Aviation Management Corporation,,AAM,AM CORP,
26,Atlantis Airlines (USA),,AAO,ATLANTIS AIR,
27,Aerovista Airlines,,AAP,AEROVISTA GROUP,234
28,Asiana Airlines,OZ,AAR,ASIANA,
29,Askari Aviation,4K,AAS,AL-AAS,168
30,Australia Asia Airlines,,AAU,AUSTASIA,14
31,Astro Air International,,AAV,ASTRO-PHIL,
32,Afriqiyah Airways,8U,AAW,AFRIQIYAH,127
33,Afrinat International Airlines,Q9,AFU,,81
34,Afric'air Express,,AAX,AFREX,
35,Allegiant Air,G4,AAY,ALLEGIANT,
36,Angus Aviation,,AAZ,ANGUS,40
37,Artem-Avia,,ABA,ARTEM-AVIA,233
38,African Business and Transportations,,ABB,AFRICAN BUSINESS-,
39,Aban Air,K5,ABE,ABA,
40,Aerial Oy,,ABF,SKYWINGS,75
41,Abakan-Avia,,ABG,ABAKAN-AVIA,
42,ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,32
43,Abaet,,ABJ,Abaet,32
