ID | NAME | IATA(3) | ICAO(4) | CITY_ID
1,Goroka Airport,GKA,AYGA,1
2,Madang Airport,MAG,AYMD,2
3,Mount Hagen Kagamuga Airport,HGU,AYMH,3
4,Nadzab Airport,LAE,AYNZ,4
5,Port Moresby Jacksons International Airport,POM,AYPY,5
6,Wewak International Airport,WWK,AYWK,6
7,Narsarsuaq Airport,UAK,BGBW,7
8,Godthaab / Nuuk Airport,GOH,BGGH,8
9,Kangerlussuaq Airport,SFJ,BGSF,9
10,Thule Air Base,THU,BGTL,10
11,Akureyri Airport,AEY,BIAR,11
12,Egilsstaðir Airport,EGS,BIEG,12
13,Hornafjörður Airport,HF,BIH,13
14,Húsavík Airport,HZK,BIHU,14
15,Ísafjörður Airport,IFJ,BIIS,15
16,Keflavik International Airport,KEF,BIKF,16
17,Patreksfjörður Airport,PFJ,BIPA,17
18,Reykjavik Airport,RKV,BIRK,18
19,Siglufjörður Airport,SIJ,BISI,19
20,Vestmannaeyjar Airport,VEY,BIVM,20
21,Sault Ste Marie Airport,YAM,CYAM,21
22,Winnipeg / St. Andrews Airport,,CYAV,22
23,Halifax / CFB Shearwater Heliport,,CYAW,23
24,St. Anthony Airport,YAY,CYAY,24
25,Tofino / Long Beach Airport,YAZ,CYAZ,25
26,Kugaaruk Airport,YBB,CYBB,26
27,Baie Comeau Airport,YBC,CYBC,27
28,CFB Bagotville,YBG,CYBG,28
29,Baker Lake Airport,YBK,CYBK,29
30,Campbell River Airport,YBL,CYBL,30
31,Brandon Municipal Airport,YBR,CYBR,31
32,Cambridge Bay Airport,YCB,CYCB,32
33,Nanaimo Airport,YCD,CYCD,33
34,Castlegar/West Kootenay Regional Airport,YCG,CYCG,34
35,Miramichi Airport,YCH,CYCH,35
36,Charlo Airport,YCL,CYCL,36
37,Kugluktuk Airport,YCO,CYCO,37
38,Coronation Airport,YCT,CYCT,38
39,Chilliwack Airport,YCW,CYCW,39
40,Clyde River Airport,YCY,CYCY,40
41,Coral Harbour Airport,YZS,CYZS,41
42,Dawson City Airport,YDA,CYDA,42
43,Burwash Airport,YDB,CYDB,43
44,Princeton Airport,,CYDC,44
45,Deer Lake Airport,YDF,CYDF,45
46,Dease Lake Airport,YDL,CYDL,46
47,Dauphin Barker Airport,YD,CYD,47
48,Dawson Creek Airport,YDQ,CYDQ,48
49,Edmonton International Airport,YEG,CYEG,49
50,Arviat Airport,YEK,CYEK,50
51,Estevan Airport,YE,CYE,51
52,Edson Airport,YET,CYET,52
53,Eureka Airport,YEU,CYEU,53
54,Inuvik Mike Zubko Airport,YEV,CYEV,54
55,Iqaluit Airport,YFB,CYFB,55
56,Fredericton Airport,YFC,CYFC,56
57,Forestville Airport,YFE,CYFE,57
58,Flin Flon Airport,YFO,CYFO,58
59,Fort Resolution Airport,YFR,CYFR,59
60,Fort Simpson Airport,YFS,CYFS,60
61,Kingston Norman Rogers Airport,YGK,CYGK,61
62,La Grande Rivière Airport,YGL,CYGL,62
63,Gaspé (Michel-Pouliot) Airport,YGP,CYGP,63
64,Geraldton Greenstone Regional Airport,YGQ,CYGQ,64
65,Îles-de-la-Madeleine Airport,YGR,CYGR,65
66,Hudson Bay Airport,YHB,CYHB,66
67,Dryden Regional Airport,YHD,CYHD,67
68,Ulukhaktok Holman Airport,YHI,CYHI,68
69,Gjoa Haven Airport,YHK,CYHK,69
70,John C. Munro Hamilton International Airport,YHM,CYHM,70
71,Montréal / Saint-Hubert Airport,YHU,CYHU,71
72,Hay River / Merlyn Carter Airport,YHY,CYHY,72
73,Halifax / Stanfield International Airport,YHZ,CYHZ,23
74,Atikokan Municipal Airport,YIB,CYIB,73
75,Pond Inlet Airport,YIO,CYIO,74
76,St Jean Airport,YJ,CYJ,75
77,Stephenville Airport,YJT,CYJT,76
78,Kamloops Airport,YKA,CYKA,77
79,Waterloo Airport,YKF,CYKF,78
80,Schefferville Airport,YKL,CYKL,79
81,Kindersley Airport,YKY,CYKY,80
82,Buttonville Municipal Airport,YKZ,CYKZ,81
83,Chapleau Airport,YLD,CYLD,82
84,Meadow Lake Airport,YLJ,CYLJ,83
85,Lloydminster Airport,YLL,CYLL,84
86,Alert Airport,YLT,CYLT,85
87,Kelowna International Airport,YLW,CYLW,86
88,Mayo Airport,YMA,CYMA,87
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,CYMJ,88
90,Fort McMurray Airport,YMM,CYMM,89
91,Moosonee Airport,YMO,CYMO,90
92,Maniwaki Airport,YMW,CYMW,91
93,Montreal International (Mirabel) Airport,YMX,CYMX,71
94,Natashquan Airport,YNA,CYNA,92
95,Ottawa / Gatineau Airport,YND,CYND,93
96,Matagami Airport,YNM,CYNM,94
97,Old Crow Airport,YOC,CYOC,95
98,CFB Cold Lake,YOD,CYOD,96
99,High Level Airport,YOJ,CYOJ,97
100,Ottawa Macdonald-Cartier International Airport,YOW,CYOW,98
101,Prince Albert Glass Field,YPA,CYPA,99
102,Peace River Airport,YPE,CYPE,100
103,Southport Airport,YPG,CYPG,101
104,Pitt Meadows Airport,,CYPK,102
